epoch: 0	train ppl: 554.081459887965	val ppl: 319.88540273811327	best val: 319.88540273811327	time (s) spent in epoch: 171.8795199394226
epoch: 1	train ppl: 341.9973050519581	val ppl: 264.4022940679391	best val: 264.4022940679391	time (s) spent in epoch: 171.83950304985046
epoch: 2	train ppl: 288.4825194403657	val ppl: 233.76379959402345	best val: 233.76379959402345	time (s) spent in epoch: 171.85804390907288
epoch: 3	train ppl: 258.69105692436165	val ppl: 215.74393681947424	best val: 215.74393681947424	time (s) spent in epoch: 171.88518929481506
epoch: 4	train ppl: 238.7560126114143	val ppl: 211.51543207571672	best val: 211.51543207571672	time (s) spent in epoch: 172.0249092578888
epoch: 5	train ppl: 224.75611189194998	val ppl: 207.80023205506362	best val: 207.80023205506362	time (s) spent in epoch: 171.80060148239136
epoch: 6	train ppl: 213.48653907061043	val ppl: 198.4834084740323	best val: 198.4834084740323	time (s) spent in epoch: 171.9935164451599
epoch: 7	train ppl: 204.7344250617227	val ppl: 192.38716670248033	best val: 192.38716670248033	time (s) spent in epoch: 171.94905281066895
epoch: 8	train ppl: 197.09221044899047	val ppl: 190.15438668496637	best val: 190.15438668496637	time (s) spent in epoch: 171.69901847839355
epoch: 9	train ppl: 190.8196800419494	val ppl: 186.55745505260194	best val: 186.55745505260194	time (s) spent in epoch: 172.00176763534546
epoch: 10	train ppl: 185.29190486719395	val ppl: 183.0970967381187	best val: 183.0970967381187	time (s) spent in epoch: 171.80619716644287
epoch: 11	train ppl: 180.91129720755274	val ppl: 181.52817451033465	best val: 181.52817451033465	time (s) spent in epoch: 171.84591722488403
epoch: 12	train ppl: 176.88388204830028	val ppl: 180.03271374196802	best val: 180.03271374196802	time (s) spent in epoch: 171.75304007530212
epoch: 13	train ppl: 173.36855337034396	val ppl: 179.23392952131658	best val: 179.23392952131658	time (s) spent in epoch: 171.1009976863861
epoch: 14	train ppl: 170.20281559302174	val ppl: 177.4646596418711	best val: 177.4646596418711	time (s) spent in epoch: 171.00425219535828
epoch: 15	train ppl: 167.2783106601419	val ppl: 179.29756520186726	best val: 177.4646596418711	time (s) spent in epoch: 170.7159321308136
epoch: 16	train ppl: 164.67088197724544	val ppl: 178.429487251153	best val: 177.4646596418711	time (s) spent in epoch: 170.6992380619049
epoch: 17	train ppl: 162.5222168083399	val ppl: 175.0801638925087	best val: 175.0801638925087	time (s) spent in epoch: 170.77939081192017
epoch: 18	train ppl: 160.14622175420146	val ppl: 177.171964237329	best val: 175.0801638925087	time (s) spent in epoch: 170.58383870124817
epoch: 19	train ppl: 158.26142988698334	val ppl: 174.55037155262653	best val: 174.55037155262653	time (s) spent in epoch: 170.72518396377563
epoch: 20	train ppl: 156.243211625487	val ppl: 175.10276916285875	best val: 174.55037155262653	time (s) spent in epoch: 170.62285232543945
epoch: 21	train ppl: 154.91986940220562	val ppl: 173.63656317732364	best val: 173.63656317732364	time (s) spent in epoch: 170.7636468410492
epoch: 22	train ppl: 153.40559450304548	val ppl: 173.7030524690281	best val: 173.63656317732364	time (s) spent in epoch: 170.5713083744049
epoch: 23	train ppl: 151.7395004964814	val ppl: 174.12130558935863	best val: 173.63656317732364	time (s) spent in epoch: 170.58295035362244
epoch: 24	train ppl: 150.25542032347815	val ppl: 174.36184771985552	best val: 173.63656317732364	time (s) spent in epoch: 170.58919644355774
epoch: 25	train ppl: 148.91010703884896	val ppl: 173.127185553099	best val: 173.127185553099	time (s) spent in epoch: 170.80458331108093
epoch: 26	train ppl: 147.8818535360204	val ppl: 177.24306180176623	best val: 173.127185553099	time (s) spent in epoch: 170.60725617408752
epoch: 27	train ppl: 146.62397472012032	val ppl: 175.43139947838483	best val: 173.127185553099	time (s) spent in epoch: 170.6123287677765
epoch: 28	train ppl: 145.85979341253037	val ppl: 177.04734748439824	best val: 173.127185553099	time (s) spent in epoch: 170.59814715385437
epoch: 29	train ppl: 144.77358980858398	val ppl: 176.92149712737432	best val: 173.127185553099	time (s) spent in epoch: 170.6355345249176
epoch: 30	train ppl: 143.73233525465324	val ppl: 175.36096301814763	best val: 173.127185553099	time (s) spent in epoch: 170.6421537399292
epoch: 31	train ppl: 142.76261765280918	val ppl: 175.80010965622742	best val: 173.127185553099	time (s) spent in epoch: 170.67677092552185
epoch: 32	train ppl: 142.04220235348336	val ppl: 179.27864401974446	best val: 173.127185553099	time (s) spent in epoch: 170.66193008422852
epoch: 33	train ppl: 141.3562567409202	val ppl: 179.88951835945605	best val: 173.127185553099	time (s) spent in epoch: 170.63338470458984
epoch: 34	train ppl: 140.37842172880684	val ppl: 175.67878017082325	best val: 173.127185553099	time (s) spent in epoch: 170.64772582054138
epoch: 35	train ppl: 139.71161936458998	val ppl: 175.08298955225163	best val: 173.127185553099	time (s) spent in epoch: 170.65975761413574
epoch: 36	train ppl: 138.86916543115456	val ppl: 175.4462065444032	best val: 173.127185553099	time (s) spent in epoch: 170.64297151565552
epoch: 37	train ppl: 138.27723348368139	val ppl: 174.0329458723199	best val: 173.127185553099	time (s) spent in epoch: 170.6579189300537
epoch: 38	train ppl: 137.73726809240475	val ppl: 178.43029225778326	best val: 173.127185553099	time (s) spent in epoch: 170.65419220924377
epoch: 39	train ppl: 136.74567406943663	val ppl: 175.05481334272432	best val: 173.127185553099	time (s) spent in epoch: 170.66967129707336
