epoch: 0	train ppl: 537.0584524318009	val ppl: 855.165157136855	best val: 855.165157136855	time (s) spent in epoch: 371.36890864372253
epoch: 1	train ppl: 292.25103755523577	val ppl: 540.1448727798635	best val: 540.1448727798635	time (s) spent in epoch: 371.4691307544708
epoch: 2	train ppl: 221.41929471960012	val ppl: 436.77482568089647	best val: 436.77482568089647	time (s) spent in epoch: 373.87054562568665
epoch: 3	train ppl: 183.2572910138951	val ppl: 372.0117426426229	best val: 372.0117426426229	time (s) spent in epoch: 371.6873610019684
epoch: 4	train ppl: 158.22689157810976	val ppl: 337.8050304114465	best val: 337.8050304114465	time (s) spent in epoch: 372.7357888221741
epoch: 5	train ppl: 140.46426225911293	val ppl: 311.4968697302903	best val: 311.4968697302903	time (s) spent in epoch: 373.1267657279968
epoch: 6	train ppl: 126.50060248490439	val ppl: 294.8417488909608	best val: 294.8417488909608	time (s) spent in epoch: 371.02093863487244
epoch: 7	train ppl: 115.21372966055176	val ppl: 284.25948584450117	best val: 284.25948584450117	time (s) spent in epoch: 372.2557735443115
epoch: 8	train ppl: 105.78928698261106	val ppl: 279.5746189405926	best val: 279.5746189405926	time (s) spent in epoch: 371.7434129714966
epoch: 9	train ppl: 97.71001664720731	val ppl: 274.7947766684454	best val: 274.7947766684454	time (s) spent in epoch: 371.94446778297424
epoch: 10	train ppl: 90.79486122706435	val ppl: 272.3180203890977	best val: 272.3180203890977	time (s) spent in epoch: 371.97174763679504
epoch: 11	train ppl: 84.59861121843566	val ppl: 273.0009577013132	best val: 272.3180203890977	time (s) spent in epoch: 367.9142768383026
epoch: 12	train ppl: 79.12021684766736	val ppl: 272.21365477551393	best val: 272.21365477551393	time (s) spent in epoch: 372.7492518424988
epoch: 13	train ppl: 74.32026547743085	val ppl: 275.13116341740425	best val: 272.21365477551393	time (s) spent in epoch: 367.7353744506836
epoch: 14	train ppl: 70.08972701709162	val ppl: 278.3870971789611	best val: 272.21365477551393	time (s) spent in epoch: 367.8019244670868
epoch: 15	train ppl: 66.03736005201554	val ppl: 281.8202525593721	best val: 272.21365477551393	time (s) spent in epoch: 367.2684373855591
epoch: 16	train ppl: 62.554397452503586	val ppl: 286.23224427792235	best val: 272.21365477551393	time (s) spent in epoch: 365.5584418773651
epoch: 17	train ppl: 59.36004417937762	val ppl: 293.0147838494443	best val: 272.21365477551393	time (s) spent in epoch: 365.434846162796
epoch: 18	train ppl: 56.36392445221372	val ppl: 302.8839079052443	best val: 272.21365477551393	time (s) spent in epoch: 365.3602764606476
epoch: 19	train ppl: 53.58159055068484	val ppl: 310.79922483660533	best val: 272.21365477551393	time (s) spent in epoch: 365.38579058647156
epoch: 20	train ppl: 51.12675506625198	val ppl: 319.67719539812	best val: 272.21365477551393	time (s) spent in epoch: 365.3449475765228
epoch: 21	train ppl: 48.76414278668493	val ppl: 327.9013644322864	best val: 272.21365477551393	time (s) spent in epoch: 365.352174282074
epoch: 22	train ppl: 46.60468476523808	val ppl: 340.75468030120425	best val: 272.21365477551393	time (s) spent in epoch: 365.20524048805237
epoch: 23	train ppl: 44.67231928343343	val ppl: 351.27690814410107	best val: 272.21365477551393	time (s) spent in epoch: 365.2416536808014
epoch: 24	train ppl: 42.76146913986992	val ppl: 362.2107598496765	best val: 272.21365477551393	time (s) spent in epoch: 365.3294503688812
epoch: 25	train ppl: 41.07439284859164	val ppl: 376.1249333266115	best val: 272.21365477551393	time (s) spent in epoch: 365.2631413936615
epoch: 26	train ppl: 39.479752460435215	val ppl: 390.94594572345017	best val: 272.21365477551393	time (s) spent in epoch: 365.4273018836975
epoch: 27	train ppl: 38.01470050730552	val ppl: 406.0843132315434	best val: 272.21365477551393	time (s) spent in epoch: 365.25869250297546
epoch: 28	train ppl: 36.64531176885376	val ppl: 417.4519045789193	best val: 272.21365477551393	time (s) spent in epoch: 365.24142718315125
epoch: 29	train ppl: 35.267170717322806	val ppl: 432.47643563051093	best val: 272.21365477551393	time (s) spent in epoch: 365.250919342041
epoch: 30	train ppl: 34.060549929649916	val ppl: 450.142906120696	best val: 272.21365477551393	time (s) spent in epoch: 365.23483991622925
epoch: 31	train ppl: 32.89670773931731	val ppl: 463.20209208055417	best val: 272.21365477551393	time (s) spent in epoch: 365.2655885219574
epoch: 32	train ppl: 31.802229037511204	val ppl: 482.9365322559003	best val: 272.21365477551393	time (s) spent in epoch: 365.2114384174347
epoch: 33	train ppl: 30.7588767274547	val ppl: 503.4913001270308	best val: 272.21365477551393	time (s) spent in epoch: 365.2084517478943
epoch: 34	train ppl: 29.775664659479588	val ppl: 522.8841663798895	best val: 272.21365477551393	time (s) spent in epoch: 365.3089089393616
epoch: 35	train ppl: 28.86374210384001	val ppl: 544.0637280035088	best val: 272.21365477551393	time (s) spent in epoch: 365.3333320617676
epoch: 36	train ppl: 27.96511162819466	val ppl: 560.7822228558749	best val: 272.21365477551393	time (s) spent in epoch: 365.4929778575897
epoch: 37	train ppl: 27.13550667947625	val ppl: 576.435147480202	best val: 272.21365477551393	time (s) spent in epoch: 365.3175733089447
epoch: 38	train ppl: 26.333918981551744	val ppl: 598.8415047687562	best val: 272.21365477551393	time (s) spent in epoch: 367.3544638156891
epoch: 39	train ppl: 25.62063105626441	val ppl: 623.0447973700519	best val: 272.21365477551393	time (s) spent in epoch: 368.9788112640381
