epoch: 0	train ppl: 565.09991084463	val ppl: 750.2705269200009	best val: 750.2705269200009	time (s) spent in epoch: 298.81419372558594
epoch: 1	train ppl: 309.05255105179594	val ppl: 425.607766088243	best val: 425.607766088243	time (s) spent in epoch: 299.1514024734497
epoch: 2	train ppl: 238.69464599358787	val ppl: 331.4602694420652	best val: 331.4602694420652	time (s) spent in epoch: 296.9252288341522
epoch: 3	train ppl: 198.83219490375492	val ppl: 279.9655131323839	best val: 279.9655131323839	time (s) spent in epoch: 298.2958993911743
epoch: 4	train ppl: 172.60022417317438	val ppl: 261.880333836035	best val: 261.880333836035	time (s) spent in epoch: 299.7483937740326
epoch: 5	train ppl: 153.26162537802165	val ppl: 243.71233309849387	best val: 243.71233309849387	time (s) spent in epoch: 299.1875636577606
epoch: 6	train ppl: 138.5207028300055	val ppl: 232.1050110881938	best val: 232.1050110881938	time (s) spent in epoch: 299.64740896224976
epoch: 7	train ppl: 127.15138391058663	val ppl: 226.51962022539817	best val: 226.51962022539817	time (s) spent in epoch: 299.5719814300537
epoch: 8	train ppl: 117.62016992619334	val ppl: 226.6037280894043	best val: 226.51962022539817	time (s) spent in epoch: 297.04773712158203
epoch: 9	train ppl: 109.77624700909945	val ppl: 222.51871084030228	best val: 222.51871084030228	time (s) spent in epoch: 299.5992634296417
epoch: 10	train ppl: 103.05224337915351	val ppl: 221.03201564697795	best val: 221.03201564697795	time (s) spent in epoch: 299.4820079803467
epoch: 11	train ppl: 97.03263696019337	val ppl: 221.37847800059552	best val: 221.03201564697795	time (s) spent in epoch: 296.925274848938
epoch: 12	train ppl: 92.25340192641366	val ppl: 220.0136851821446	best val: 220.0136851821446	time (s) spent in epoch: 299.573459148407
epoch: 13	train ppl: 87.73514740229459	val ppl: 223.43799981508317	best val: 220.0136851821446	time (s) spent in epoch: 297.1181218624115
epoch: 14	train ppl: 83.58397955759095	val ppl: 225.2576470703774	best val: 220.0136851821446	time (s) spent in epoch: 297.1511609554291
epoch: 15	train ppl: 78.50915988379893	val ppl: 222.73673478684012	best val: 220.0136851821446	time (s) spent in epoch: 297.2958393096924
epoch: 16	train ppl: 73.0788775528853	val ppl: 226.50288547988512	best val: 220.0136851821446	time (s) spent in epoch: 297.2958028316498
epoch: 17	train ppl: 68.28930555796966	val ppl: 227.52054464171817	best val: 220.0136851821446	time (s) spent in epoch: 297.3245801925659
epoch: 18	train ppl: 64.75556654220777	val ppl: 230.49024775066286	best val: 220.0136851821446	time (s) spent in epoch: 297.2768726348877
epoch: 19	train ppl: 62.616680816553135	val ppl: 229.32507789204772	best val: 220.0136851821446	time (s) spent in epoch: 297.46170473098755
epoch: 20	train ppl: 61.621269341897616	val ppl: 228.04482018136514	best val: 220.0136851821446	time (s) spent in epoch: 297.4564485549927
epoch: 21	train ppl: 61.01887797655917	val ppl: 227.4896353656335	best val: 220.0136851821446	time (s) spent in epoch: 297.4335331916809
epoch: 22	train ppl: 60.7899612730172	val ppl: 227.10031816577546	best val: 220.0136851821446	time (s) spent in epoch: 297.63422894477844
epoch: 23	train ppl: 60.68418940127159	val ppl: 227.0121739934067	best val: 220.0136851821446	time (s) spent in epoch: 297.5586004257202
epoch: 24	train ppl: 60.632899560116655	val ppl: 226.951495034644	best val: 220.0136851821446	time (s) spent in epoch: 297.50898599624634
epoch: 25	train ppl: 60.65128018881167	val ppl: 226.94963867177268	best val: 220.0136851821446	time (s) spent in epoch: 297.6167187690735
epoch: 26	train ppl: 60.68768250799355	val ppl: 226.95089899899074	best val: 220.0136851821446	time (s) spent in epoch: 297.64088702201843
epoch: 27	train ppl: 60.63840481200021	val ppl: 226.95181802668532	best val: 220.0136851821446	time (s) spent in epoch: 297.71104645729065
epoch: 28	train ppl: 60.69928086458292	val ppl: 226.9519079317684	best val: 220.0136851821446	time (s) spent in epoch: 297.71880292892456
epoch: 29	train ppl: 60.59476153945059	val ppl: 226.9519079317684	best val: 220.0136851821446	time (s) spent in epoch: 297.7408638000488
epoch: 30	train ppl: 60.67323713057521	val ppl: 226.9519129264962	best val: 220.0136851821446	time (s) spent in epoch: 297.6671144962311
epoch: 31	train ppl: 60.71030001205431	val ppl: 226.95190293704053	best val: 220.0136851821446	time (s) spent in epoch: 297.7269208431244
epoch: 32	train ppl: 60.654802730965315	val ppl: 226.95190293704053	best val: 220.0136851821446	time (s) spent in epoch: 297.7071008682251
epoch: 33	train ppl: 60.558980228589206	val ppl: 226.95190293704053	best val: 220.0136851821446	time (s) spent in epoch: 297.6568820476532
epoch: 34	train ppl: 60.58883029859311	val ppl: 226.95190293704053	best val: 220.0136851821446	time (s) spent in epoch: 296.9660906791687
epoch: 35	train ppl: 60.621697867492465	val ppl: 226.95190293704053	best val: 220.0136851821446	time (s) spent in epoch: 293.13676595687866
epoch: 36	train ppl: 60.64002579771232	val ppl: 226.95190293704053	best val: 220.0136851821446	time (s) spent in epoch: 293.1688106060028
epoch: 37	train ppl: 60.67516529492878	val ppl: 226.95190293704053	best val: 220.0136851821446	time (s) spent in epoch: 293.3414959907532
epoch: 38	train ppl: 60.564211277983446	val ppl: 226.95190293704053	best val: 220.0136851821446	time (s) spent in epoch: 293.2499506473541
epoch: 39	train ppl: 60.54389209668692	val ppl: 226.95190293704053	best val: 220.0136851821446	time (s) spent in epoch: 293.26904582977295
