epoch: 0	train ppl: 291.7326129902033	val ppl: 187.67013433957302	best val: 187.67013433957302	time (s) spent in epoch: 280.45737409591675
epoch: 1	train ppl: 135.98091031793479	val ppl: 149.56798401206962	best val: 149.56798401206962	time (s) spent in epoch: 280.4525396823883
epoch: 2	train ppl: 93.98858746087036	val ppl: 138.18690336804102	best val: 138.18690336804102	time (s) spent in epoch: 280.7059645652771
epoch: 3	train ppl: 71.12782334014477	val ppl: 137.70730714079866	best val: 137.70730714079866	time (s) spent in epoch: 274.77086997032166
epoch: 4	train ppl: 55.84597674140773	val ppl: 142.7486669664382	best val: 137.70730714079866	time (s) spent in epoch: 272.5041811466217
epoch: 5	train ppl: 44.588723563331044	val ppl: 151.79690250868163	best val: 137.70730714079866	time (s) spent in epoch: 271.9769916534424
epoch: 6	train ppl: 36.025595214198	val ppl: 167.53196833077556	best val: 137.70730714079866	time (s) spent in epoch: 271.89007472991943
epoch: 7	train ppl: 29.45823424724864	val ppl: 185.70153049713386	best val: 137.70730714079866	time (s) spent in epoch: 271.80536437034607
epoch: 8	train ppl: 24.257867032462798	val ppl: 209.69419800150536	best val: 137.70730714079866	time (s) spent in epoch: 272.01458621025085
epoch: 9	train ppl: 20.321329494585516	val ppl: 238.4214834097858	best val: 137.70730714079866	time (s) spent in epoch: 272.0680902004242
epoch: 10	train ppl: 17.21169944273128	val ppl: 273.9639154160541	best val: 137.70730714079866	time (s) spent in epoch: 272.0873830318451
epoch: 11	train ppl: 14.858060364075103	val ppl: 313.37432833348	best val: 137.70730714079866	time (s) spent in epoch: 272.0147693157196
epoch: 12	train ppl: 12.963065615109187	val ppl: 357.7761084217809	best val: 137.70730714079866	time (s) spent in epoch: 272.0819208621979
epoch: 13	train ppl: 11.476129844881836	val ppl: 403.28611582213983	best val: 137.70730714079866	time (s) spent in epoch: 271.9921314716339
epoch: 14	train ppl: 10.257074556950887	val ppl: 460.2289142976721	best val: 137.70730714079866	time (s) spent in epoch: 272.05687832832336
epoch: 15	train ppl: 9.270821364688048	val ppl: 522.1895103456765	best val: 137.70730714079866	time (s) spent in epoch: 272.11199593544006
epoch: 16	train ppl: 8.438438192683897	val ppl: 590.1543816138657	best val: 137.70730714079866	time (s) spent in epoch: 272.0255374908447
epoch: 17	train ppl: 7.741990360964351	val ppl: 660.4532784704522	best val: 137.70730714079866	time (s) spent in epoch: 272.04946970939636
epoch: 18	train ppl: 7.171630772750324	val ppl: 751.6450369306098	best val: 137.70730714079866	time (s) spent in epoch: 272.1912360191345
epoch: 19	train ppl: 6.662935093284771	val ppl: 838.0732101833196	best val: 137.70730714079866	time (s) spent in epoch: 272.15021085739136
epoch: 20	train ppl: 6.229873197982145	val ppl: 940.7559406765242	best val: 137.70730714079866	time (s) spent in epoch: 272.1858458518982
epoch: 21	train ppl: 5.874043533537003	val ppl: 1046.6362050491161	best val: 137.70730714079866	time (s) spent in epoch: 272.26911091804504
epoch: 22	train ppl: 5.532774574097294	val ppl: 1144.8601391811205	best val: 137.70730714079866	time (s) spent in epoch: 272.16381883621216
epoch: 23	train ppl: 5.256747837933654	val ppl: 1272.894925954419	best val: 137.70730714079866	time (s) spent in epoch: 271.9998207092285
epoch: 24	train ppl: 5.0099775743181345	val ppl: 1393.4638102845922	best val: 137.70730714079866	time (s) spent in epoch: 271.86548805236816
epoch: 25	train ppl: 4.791082306719191	val ppl: 1530.2726752903673	best val: 137.70730714079866	time (s) spent in epoch: 271.8248233795166
epoch: 26	train ppl: 4.587494590061337	val ppl: 1675.0662978866703	best val: 137.70730714079866	time (s) spent in epoch: 271.82467913627625
epoch: 27	train ppl: 4.399245983094564	val ppl: 1834.1523571763955	best val: 137.70730714079866	time (s) spent in epoch: 271.92993998527527
epoch: 28	train ppl: 4.245190994109663	val ppl: 1990.3118695709486	best val: 137.70730714079866	time (s) spent in epoch: 271.8340401649475
epoch: 29	train ppl: 4.100476391528354	val ppl: 2173.581935097609	best val: 137.70730714079866	time (s) spent in epoch: 271.8093078136444
epoch: 30	train ppl: 3.9606011310863733	val ppl: 2232.5907729149003	best val: 137.70730714079866	time (s) spent in epoch: 271.8989975452423
epoch: 31	train ppl: 3.8353811063797854	val ppl: 2481.778300005593	best val: 137.70730714079866	time (s) spent in epoch: 271.3797438144684
epoch: 32	train ppl: 3.72381369049765	val ppl: 2631.187017308821	best val: 137.70730714079866	time (s) spent in epoch: 264.16272044181824
epoch: 33	train ppl: 3.62324203467701	val ppl: 2868.9537815920607	best val: 137.70730714079866	time (s) spent in epoch: 264.24355936050415
epoch: 34	train ppl: 3.528194376818755	val ppl: 3040.3296375421905	best val: 137.70730714079866	time (s) spent in epoch: 266.48170280456543
epoch: 35	train ppl: 3.4393073815716706	val ppl: 3226.197872161895	best val: 137.70730714079866	time (s) spent in epoch: 271.776113986969
epoch: 36	train ppl: 3.3620871944774593	val ppl: 3493.0833859499926	best val: 137.70730714079866	time (s) spent in epoch: 271.88714623451233
epoch: 37	train ppl: 3.277236747019333	val ppl: 3669.01197114526	best val: 137.70730714079866	time (s) spent in epoch: 271.79843497276306
epoch: 38	train ppl: 3.2087100196366305	val ppl: 3913.782111777405	best val: 137.70730714079866	time (s) spent in epoch: 271.83805537223816
epoch: 39	train ppl: 3.146932969637665	val ppl: 4175.888044739617	best val: 137.70730714079866	time (s) spent in epoch: 271.803026676178
